il,ISTANBUL,,,,,,,,,,,,,
ilce,USKUDAR,,,,,,,,,,,,,
Row Labels,Sum of kayitli_secmen,Sum of oy_kullanan_kayitli_secmen,Sum of gecerli_oy,Sum of akp_oy,Sum of chp_oy,,katilim %,akp oran,chp oran,,,,,
1058,309,280,274,97,170,,0.90614886731391586,0.354014598540146,0.62043795620437958
1059,307,290,285,79,182,,0.94462540716612375,0.27719298245614032,0.63859649122807016
1060,308,280,276,67,189,,0.90909090909090906,0.24275362318840579,0.68478260869565222
1061,309,293,275,77,174,,0.94822006472491904,0.28000000000000003,0.63272727272727269
1062,308,280,271,99,154,,0.90909090909090906,0.36531365313653136,0.56826568265682653
1063,308,269,259,85,156,,0.87337662337662336,0.3281853281853282,0.60231660231660233
1064,307,275,269,86,161,,0.89576547231270354,0.31970260223048325,0.5985130111524164
1065,308,280,279,89,163,,0.90909090909090906,0.31899641577060933,0.58422939068100355
1066,310,293,270,104,137,,0.94516129032258067,0.38518518518518519,0.50740740740740742
1067,306,288,285,105,150,,0.94117647058823528,0.36842105263157893,0.52631578947368418
1068,308,268,265,97,158,,0.87012987012987009,0.36603773584905658,0.5962264150943396
1069,307,262,255,72,164,,0.85342019543973946,0.28235294117647058,0.64313725490196083
1070,308,269,260,73,166,,0.87337662337662336,0.28076923076923077,0.63846153846153841
1071,308,277,267,100,147,,0.89935064935064934,0.37453183520599254,0.550561797752809
1072,307,269,262,94,145,,0.87622149837133545,0.35877862595419846,0.55343511450381677
1073,308,276,272,98,153,,0.89610389610389607,0.36029411764705882,0.5625
1074,308,279,267,89,152,,0.9058441558441559,0.33333333333333331,0.56928838951310856
1075,305,243,226,50,168,,0.79672131147540981,0.22123893805309736,0.74336283185840712
1076,304,256,252,56,178,,0.84210526315789469,0.22222222222222221,0.70634920634920639
1077,305,226,221,77,125,,0.74098360655737705,0.34841628959276016,0.56561085972850678
1078,306,285,276,99,152,,0.93137254901960786,0.35869565217391303,0.55072463768115942
1079,305,273,259,108,135,,0.89508196721311473,0.41698841698841699,0.52123552123552119
1080,305,282,265,84,159,,0.92459016393442628,0.31698113207547168,0.6
1081,305,281,276,79,189,,0.92131147540983604,0.28623188405797101,0.68478260869565222
1082,305,278,275,84,181,,0.91147540983606556,0.30545454545454548,0.6581818181818182
1083,306,275,258,112,119,,0.89869281045751637,0.43410852713178294,0.46124031007751937
1084,304,281,278,122,144,,0.92434210526315785,0.43884892086330934,0.51798561151079137
1085,305,267,261,77,165,,0.87540983606557377,0.2950191570881226,0.63218390804597702
1086,305,286,264,77,173,,0.93770491803278688,0.29166666666666669,0.65530303030303028
1087,305,268,258,99,139,,0.87868852459016389,0.38372093023255816,0.53875968992248058
1088,308,278,275,104,144,,0.90259740259740262,0.37818181818181817,0.52363636363636368
1089,305,269,261,104,139,,0.88196721311475412,0.39846743295019155,0.53256704980842917
1090,305,265,262,124,121,,0.86885245901639341,0.47328244274809161,0.46183206106870228
1091,305,274,268,93,151,,0.89836065573770496,0.34701492537313433,0.56343283582089554
1092,306,293,286,76,186,,0.95751633986928109,0.26573426573426573,0.65034965034965031
1093,305,283,268,113,143,,0.9278688524590164,0.42164179104477612,0.53358208955223885
1094,265,217,214,102,95,,0.81886792452830193,0.47663551401869159,0.44392523364485981
1095,264,231,226,95,108,,0.875,0.42035398230088494,0.47787610619469029
1096,264,238,230,106,99,,0.90151515151515149,0.46086956521739131,0.43043478260869567
1097,264,240,230,73,122,,0.90909090909090906,0.31739130434782609,0.5304347826086957
1098,265,239,230,73,139,,0.90188679245283021,0.31739130434782609,0.60434782608695647
1099,301,242,220,69,134,,0.8039867109634552,0.31363636363636366,0.60909090909090913
1100,301,237,221,68,135,,0.78737541528239208,0.30769230769230771,0.61085972850678738
1101,302,271,250,104,127,,0.89735099337748347,0.41599999999999998,0.50800000000000001
1102,301,270,266,77,169,,0.89700996677740863,0.28947368421052633,0.63533834586466165
1103,301,280,272,90,156,,0.93023255813953487,0.33088235294117646,0.57352941176470584
1104,301,276,263,82,163,,0.9169435215946844,0.31178707224334601,0.61977186311787069
1105,301,268,254,66,172,,0.89036544850498334,0.25984251968503935,0.67716535433070868
1106,301,272,268,82,177,,0.90365448504983392,0.30597014925373134,0.66044776119402981
1107,303,265,263,80,150,,0.87458745874587462,0.30418250950570341,0.57034220532319391
1108,301,270,263,91,149,,0.89700996677740863,0.34600760456273766,0.56653992395437258
1109,301,261,256,74,161,,0.86710963455149503,0.2890625,0.62890625
1110,301,283,277,46,203,,0.94019933554817281,0.16606498194945848,0.73285198555956677
1111,320,237,210,110,89,,0.74062499999999998,0.52380952380952384,0.4238095238095238
